raceId,driverId,startingPosition,racePosition,year,raceIdOrdered,yearStarted,RacingExperience,nationality,qualiResultPosition,q1Msec,q2Msec,q3Msec,maxPace,meanPace,driverExpYears,circuitId,constructorId,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
224,21,16,14,1996,582,1996,1,Italian,16.0,95898,0,0,95898,95898.0,0,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,65,14,20,1996,582,1989,84,British,14.0,95453,0,0,95453,95453.0,7,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,84,19,19,1996,582,1984,150,British,19.0,96286,0,0,96286,96286.0,12,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,55,6,18,1996,582,1989,104,French,6.0,94257,0,0,94257,94257.0,7,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,50,12,17,1996,582,1994,16,Dutch,12.0,95338,0,0,95338,95338.0,2,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,14,13,16,1996,582,1994,26,British,13.0,95351,0,0,95351,95351.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,22,8,15,1996,582,1993,50,Brazilian,8.0,94474,0,0,94474,94474.0,3,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,30,4,13,1996,582,1991,70,German,4.0,93125,0,0,93125,93125.0,5,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,44,11,7,1996,582,1994,34,French,11.0,95330,0,0,95330,95330.0,2,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,79,15,11,1996,582,1992,65,Japanese,15.0,95715,0,0,95715,95715.0,4,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,35,1,2,1996,582,1996,1,Canadian,1.0,92371,0,0,92371,92371.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,56,3,3,1996,582,1993,33,British,3.0,92889,0,0,92889,92889.0,3,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,77,7,4,1996,582,1984,181,Austrian,7.0,94344,0,0,94344,94344.0,12,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,57,5,5,1996,582,1991,67,Finnish,5.0,94054,0,0,94054,94054.0,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,83,17,12,1996,582,1993,17,Portuguese,17.0,96109,0,0,96109,96109.0,3,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,71,2,1,1996,582,1992,58,British,2.0,92509,0,0,92509,92509.0,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,49,9,8,1996,582,1994,34,German,9.0,94494,0,0,94494,94494.0,2,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,73,18,9,1996,582,1996,1,Brazilian,18.0,96198,0,0,96198,96198.0,0,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,64,20,10,1996,582,1995,18,Brazilian,20.0,96298,0,0,96298,96298.0,1,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,63,10,6,1996,582,1994,20,Finnish,10.0,94832,0,0,94832,94832.0,2,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,22,2,13,1996,583,1993,51,Brazilian,2.0,79092,0,0,79092,79092.0,3,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,50,13,21,1996,583,1994,17,Dutch,13.0,80157,0,0,80157,80157.0,2,18,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,73,17,20,1996,583,1996,2,Brazilian,17.0,80440,0,0,80440,80440.0,0,18,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,85,20,19,1996,583,1994,20,Italian,20.0,83454,0,0,83454,83454.0,2,18,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,77,8,18,1996,583,1984,182,Austrian,8.0,79762,0,0,79762,79762.0,12,18,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,35,3,17,1996,583,1996,2,Canadian,3.0,79254,0,0,79254,79254.0,0,18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,65,12,16,1996,583,1989,85,British,12.0,80144,0,0,80144,80144.0,7,18,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,14,14,15,1996,583,1994,27,British,14.0,80167,0,0,80167,80167.0,2,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,49,9,14,1996,583,1994,35,German,9.0,79799,0,0,79799,79799.0,2,18,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,84,6,12,1996,583,1984,151,British,6.0,79519,0,0,79519,79519.0,12,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,83,18,10,1996,583,1993,18,Portuguese,18.0,81491,0,0,81491,81491.0,3,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,69,19,11,1996,583,1993,33,Italian,19.0,83174,0,0,83174,83174.0,3,18,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,55,5,2,1996,583,1989,105,French,5.0,79484,0,0,79484,79484.0,7,18,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,30,4,3,1996,583,1991,71,German,4.0,79474,0,0,79474,79474.0,5,18,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,57,7,4,1996,583,1991,68,Finnish,7.0,79607,0,0,79607,79607.0,5,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
